"Spectral Clustering","Genie","Hierarchical - ward.D","Hierarchical - ward.D2","Hierarchical - single","Hierarchical - complete","Hierarchical - average","Hierarchical - mcquitty","Hierarchical - median","Hierarchical - centroid","Mclust"
"atom",1,1,1,0.646283698604904,1,0.646803265047809,0.646283698604904,0.661122491393442,0.702300468841295,0.687026326820542,0.990025563872058
"chainlink",1,1,0.71776745399524,0.679007421980523,1,0.689217432357566,0.676528827347987,0.720648984431863,0.681588485034806,0.65914929748095,0.954968026118098
"engytime",0.973495646744649,0.906475361890197,0.876947625639151,0.860239980797865,0.706675382060709,0.654373719072402,0.650023910224952,0.658931402634767,0.654030498456152,0.701933824478517,0.929412156000661
"hepta",0.831232247441201,1,1,1,1,1,1,1,1,1,1
"lsun",1,1,0.603468561789911,0.605185824933919,1,0.627204268665855,0.604377051598883,0.574204227054148,0.669457304713046,0.83302262100229,1
"target",0.682647200981577,0.649353848942389,0.794939345231142,0.794834176229066,1,0.662843178900121,0.6576649848155,0.684072231228392,0.67240857821223,0.667163037895181,0.794047258165599
"tetra",1,1,1,0.97539451589619,0.494357329030068,0.99000101504848,0.994974874689086,1,0.785934105174138,0.97539451589619,1
"twodiamonds",0.997496875014685,0.987547970762765,1,1,0.705780264833032,0.992509610085949,0.997496875014685,0.997496875014685,0.827015956661999,0.997496875014685,1
"wingnut",0.55692840345407,1,1,0.800377393654196,1,0.747542641523954,1,1,1,1,0.931510040534874
"dense",1,0.980004059577927,1,0.960436324377729,0.694993439169809,0.670660298135,0.960436324377729,0.682522435032759,0.960436324377729,0.960436324377729,1
"fuzzyx",0.628657531870162,0.523631442554887,0.758080558719341,0.71286872883128,0.446707484871345,0.72976240480163,0.795479442745686,0.701086001343149,0.662771015015507,0.49623643731643,0.811538075038579
"line",0.701927330529196,1,0.602564102564103,0.642554082293398,1,0.605542492476445,0.603488734440495,0.597179550619629,0.609127041887237,0.603488734440495,1
"parabolic",0.826245922388748,0.90704698391206,0.700887815414018,0.811151036967833,0.706159272011596,0.795920262760761,0.799375037251753,0.80268952779997,0.844685828736362,0.7580184246494,0.653658115241252
"ring",0.677755338301314,1,0.649824282642467,0.646814344775978,1,0.660340181409957,0.646693452815137,0.6511095270734,0.65542318376758,0.660419979034961,1
"zigzag",0.689283339853146,1,0.496503858122711,0.496503858122711,1,0.50422550543194,0.508596475874516,0.496963161088058,0.491055413489222,0.528010075348374,0.985603082279772
"iris",0.960141486234099,0.923434163272061,0.840728915757482,0.822169778544293,0.763517068100088,0.768637102851382,0.840728915757482,0.832050294337844,0.830639419543784,0.763517068100088,0.935598595813178
"iris5",0.889297202409424,0.763541981596539,0.765221672492173,0.737836438814028,0.690548271060658,0.66514537343186,0.765221672492173,0.752906888806957,0.749873224133996,0.690548271060658,0.922209058898373
"square",0.997998000006012,1,0.51922013457098,0.671324711360493,1,0.652341946693618,0.650023905541056,0.662888166422337,0.662448055511814,0.655252246033629,0.647521014913152
"a1",0.841725252748346,0.904641769052557,0.924061964491702,0.918442974406494,0.563990585795643,0.920414969018866,0.928824848410088,0.815021396072298,0.694299482791307,0.876687764871385,0.924419396003491
"a2",0.768218295298428,0.924898867127888,0.934070691894809,0.924477663060466,0.480410402513948,0.911033777932305,0.935610666286434,0.861384109113768,0.651636909863814,0.830016883128698,0.85639692931335
"a3",0.667052322484255,0.940004324433271,0.948414844526591,0.938626888513427,0.448862452570547,0.919499622736701,0.944650702080128,0.853266387069355,0.661291056745695,0.853389283509695,0.744788111863974
"aggregation",0.88399651349243,0.65733408302909,0.841396398836993,0.855898512018523,0.861180757949524,0.823731934819384,0.99488119732326,0.74958876543362,0.961281516568133,0.99488119732326,0.838358833582251
"compound",0.708142440081108,0.648596088418236,0.658833780141566,0.653519669812582,0.83042639958477,0.854734567583781,0.861578410378158,0.869676433450936,0.832732222798527,0.860784032995541,0.656591789145731
"d31",0.615375353853086,0.903197184637773,0.918616137581244,0.922692458897332,0.349152701715942,0.92622712015479,0.910376651900697,0.784421474323481,0.635306321380099,0.851216530284794,0.843450763506808
"flame",0.962272864888776,1,0.696374787761295,0.623731389257867,0.730023527047636,0.623036389947208,0.731069999812516,0.715087059085863,0.723796970940261,0.730023527047636,0.63058825901646
"jain",0.609762517644053,1,0.790449630182808,0.790449630182808,0.803782541478255,0.921763082290201,0.921763082290201,0.790449630182808,0.840952250891343,0.918340258819746,0.585737841894143
"pathbased",0.675693847613562,0.751088497419812,0.6482441679297,0.673779145035071,0.573392270596551,0.595415157925218,0.652631304153718,0.579524846086521,0.501657410766135,0.647547083450942,0.650879964907659
"r15",0.898315188322026,0.986584668833494,0.983168205059982,0.983168205059982,0.637457092679404,0.979923199186615,0.989959432972079,0.976682838182811,0.800314948318814,0.983297095185873,0.993248443931535
"s1",0.914473034848869,0.988793343809604,0.982449730466294,0.984446753533986,0.589337971282275,0.972992116429932,0.982824947904038,0.818649506658317,0.680256421087956,0.981843883190681,0.990391012950902
"s2",0.905439671756631,0.920886855009393,0.906356401921417,0.912047412427039,0.257040354041417,0.806599007340051,0.918425752430635,0.70300165460718,0.53874204766097,0.805886214055429,0.944180586715586
"s3",0.811481714572016,0.689895070064636,0.687930021992796,0.698934724542005,0.256763293706142,0.54836504988297,0.636391529157112,0.469779621468676,0.466850013629879,0.574457568312716,0.707405370414329
"s4",0.747465136911599,0.620276705705524,0.617734683009209,0.584666356924704,0.257038388668165,0.468044979388417,0.546192126138897,0.438297041281948,0.379666217189791,0.512156760231267,0.573139686808612
"spiral",0.487827902554085,1,0.337411327403395,0.337383327657258,1,0.338499071283009,0.357273005024422,0.345692419434698,0.331754229368921,0.385862275788058,0.327844609472754
"unbalance",0.911171350899013,0.729922646159503,0.999983476565497,0.999983476565497,0.999162482279799,0.774934260928907,1,0.775147915264123,0.775147915264123,0.999983476565497,0.995830880041469
"cross",0.997998000006012,0.62364164762008,0.455435367449243,0.44042884879127,0.498378563801298,0.596972782436622,0.490459269030767,0.475379457627155,0.475852974384442,0.494816262244691,0.328289552497872
"smile",0.7237063201815,1,0.583415091146578,0.593916758306958,1,0.647170494868662,0.690313193303266,0.624335784883202,0.625721839903615,0.71331097919771,0.722997965762283
"twosplashes",0.994987500235548,0.750804020100503,0.606979010184836,0.602089556641828,0.70098398214716,0.609455946472134,0.689567502245193,0.602089556641828,0.638643216080402,0.689567502245193,0.852060301507538
"x1",0.983889872722623,1,1,1,1,1,1,1,1,1,1
"x2",0.930442186407067,0.795185514456828,0.782838746540937,0.542565988214338,0.570897891113201,0.550659146316221,0.586763819969327,0.509764984584528,0.556596261514952,0.596878437830276,0.913575950083255
"x3",0.969872367624964,0.671337184820516,0.868546929866253,0.903373627287397,0.511567714346759,0.693630000589124,0.678501880817369,0.696287961515743,0.779226792110043,0.729353939864123,0.911170939962877
"z1",0.390044579070843,0.611621824687607,0.466289353082857,0.463828842379762,0.539643668868458,0.45745197210723,0.511465047692704,0.473612076699601,0.473612076699601,0.516480390616326,0.323848035724746
"z2",0.335239706163405,0.763692815579215,0.644374251709913,0.611682160039906,0.857471732180423,0.623078840328761,0.675862155741681,0.594232209957547,0.697553599769684,0.776260688525282,0.766875217261137
"z3",0.329875438296394,0.772664124422627,0.996677637175018,1,0.842076827699334,0.953529024522577,0.99833060567777,0.957457330803564,0.996677637175018,1,1
"crosshair",0.550619792755094,1,0.501037876172869,0.503077838713318,1,0.533883889468154,0.506678160620329,0.498952720144842,0.54824601233533,0.528043115516761,0.498202040628265
"splecione",0.533933278381028,0.542274685191872,0.555341344807066,0.547061883928714,0.696455673428327,0.560771632095009,0.675107514127373,0.668346767527588,0.696455673428327,0.696455673428327,0.677499391945362
"spread",0.592436531994425,0.945223187476836,0.945223187476836,0.905381663650629,0.55151023056729,0.620519745972333,0.935758848919595,0.80470863612468,0.767789983627213,0.90022201955302,0.969744152070685
