"Spectral Clustering","Genie","Hierarchical - ward.D","Hierarchical - ward.D2","Hierarchical - single","Hierarchical - complete","Hierarchical - average","Hierarchical - mcquitty","Hierarchical - median","Hierarchical - centroid","Mclust"
"s3",0.79560633294499,0.665104198267615,0.66490476410139,0.677113293406452,-1.34053616851751e-05,0.509250385401546,0.595741220700183,0.418929461229187,0.406798291850875,0.49391887766102,0.626533626051974
"s4",0.732755639446113,0.590911069740441,0.59004071416877,0.553228786368962,4.64836386249092e-05,0.417118713915594,0.492565817388555,0.371297005957674,0.284321370238174,0.429642124766024,0.560798178689902
"spiral",0.206099265442663,1,0.00817237930671504,-0.000880516199425796,1,0.00184103769941931,-0.00225812816618304,0.00171002244128603,-0.00263680056753377,0.00895854474288207,-0.00577616589732128
"unbalance",0.875283656289496,0.623750737529922,0.999976887161302,0.999976887161302,0.998827631863184,0.612466342912506,1,0.612735494359253,0.612735494359253,0.999976887161302,0.98613322334836
"cross",0.997331999560011,0.463351540403616,0.153652130670546,0.0724606520881393,4.0193982920515e-06,0.358730732110167,0.00133870543728866,0.0449260716347448,0.00613850128556951,0.000234252685068158,0.0560489750244913
"smile",0.995249697841417,1,0.43921376369561,0.452140369698835,1,0.499293559824069,0.574631216936805,0.484454714102284,0.480915766526699,0.604757770398608,0.616256426119673
"twosplashes",0.989999937814074,0.502854020100503,0.214264057121504,0.191647189790072,0.000150387162350268,0.218952078228183,0.00225619042247157,0.191647189790072,0.279093216080402,0.00225619042247157,0.704860301507538
"x1",0.975458003277139,1,1,1,1,1,1,1,1,1,1
"x2",0.894707684713802,0.688287234237034,0.668918384499652,0.190596523059689,-0.0069225779607647,0.209054806135108,0.250165848931435,-0.00751194184700119,-0.00670150756012656,0.271307635344954,0.86913936229683
"x3",0.958996756897704,0.496713148093008,0.821399484686767,0.868901938912765,0.00650154355989074,0.57638408431456,0.504547240137092,0.534214496673551,0.643603734916133,0.566646970995598,0.878705622950228
"z1",0.047748888562707,0.394419784400761,0.201525590551181,0.183566504358037,0.121608994787084,0.180822463280268,0.213593840351075,0.200246931899682,0.200246931899682,0.0471332555046608,-0.010053914633336
"z2",0.0550690357215343,0.632896042725747,0.476674738813737,0.434180840289336,0.734711407599505,0.441388297493468,0.511529995333818,0.385994207530666,0.523076518042705,0.57437111650907,0.642713358188812
"z3",0.0455464826046037,0.664112252140108,0.995251534149178,1,0.73869222959752,0.933199091926119,0.997617794691025,0.939522341918026,0.995251534149178,1,1
"crosshair",0.0693962618172412,1,-0.00175870259634052,-0.00167821594176208,1,0.0128993810201163,-0.00144061235718639,-0.00182614415186127,0.0177236652914032,0.0156100464241252,-0.00183125903726816
"splecione",-0.00798562587342778,-0.00762435394596976,0.0937734556016056,0.081168076174624,0,-0.00680424369935978,-0.00155392609139032,-0.00152211314644262,0,0,0.00485601903559458
"spread",0.419396527909563,0.91879812016498,0.91879812016498,0.860484011374848,-0.0147106113035223,0.453497544647616,0.904518033071481,0.716015272015026,0.652734460944535,0.852997615863232,0.955011264355184
